NoEntry0, 156, 245, 50, 46
NoEntry0, 602, 242, 52, 48
NoEntry1, 171, 108, 80, 100
NoEntry10, 229, 134, 83, 83
NoEntry10, 503, 155, 92, 90
NoEntry10, 580, 175, 52, 63
NoEntry11, 444, 160, 85, 86
NoEntry11, 48, 214, 65, 66
NoEntry12, 96, 240, 84, 80
NoEntry12, 815, 250, 85, 79
NoEntry12, 728, 169, 44, 59
NoEntry12, 621, 62, 25, 39
NoEntry12, 658, 115, 40, 46
NoEntry12, 435, 78, 30, 39
NoEntry12, 291, 120, 36, 45
NoEntry12, 240, 182, 55, 60
NoEntry13, 379, 583, 59, 49
NoEntry14, 427, 287, 64, 61
NoEntry15, 324, 124, 56, 55
NoEntry15, 385, 124, 58, 56
NoEntry2, 365, 137, 132, 129
NoEntry3, 21, 0, 84, 84
NoEntry3, 414, 10, 172, 181
NoEntry4, 195, 177, 44, 49
NoEntry4, 741, 209, 46, 49
NoEntry5, 126, 310, 39, 48
NoEntry5, 308, 329, 28, 40
NoEntry5, 429, 343, 26, 32
NoEntry5, 522, 351, 24, 31
NoEntry5, 593, 362, 19, 27
NoEntry5, 646, 366, 24, 26
NoEntry5, 692, 371, 20, 24
NoEntry5, 732, 377, 16, 22
NoEntry5, 843, 381, 16, 20
NoEntry5, 864, 381, 15, 21
NoEntry6, 177, 319, 150, 140
NoEntry6, 380, 212, 197, 206
NoEntry6, 778, 411, 100, 132
NoEntry6, 595, 229, 180, 218
NoEntry7, 550, 176, 39, 34
NoEntry8, 194, 79, 103, 98
NoEntry8, 147, 179, 57, 58
NoEntry8, 106, 239, 41, 38
NoEntry8, 89, 263, 24, 34
NoEntry9, 732, 854, 17, 13
NoEntry9, 465, 573, 58, 57
